UUID;FILE;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;TAGS
52ed4d76-bd38-4737-a25f-98df489f9a10;book3_thucydides_utf8.txt;Pisistratus;char-offset:126290;PERSON;origin:Athens|pleiades:579885|side:Athenian
28fa0356-ff99-476c-976d-bac95cb567b9;book3_thucydides_utf8.txt;Polycrates;char-offset:126726;PERSON;origin:Samos|pleiades:599926|side:Athenian
f4d924aa-ddb5-4dfb-a3a7-856d2e608cb7;book3_thucydides_utf8.txt;Athenians;char-offset:128445;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
6b3988fd-7466-4bf3-a841-3b0c98ba370d;book3_thucydides_utf8.txt;Athenians;char-offset:128606;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
bd76af88-732c-4b10-98d0-b584d5483a20;book3_thucydides_utf8.txt;Eurylochus;char-offset:128747;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
6260026b-98f7-44e8-a0bf-d62e8ebc70a9;book3_thucydides_utf8.txt;Acarnanians;char-offset:128990;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
7febc876-17bd-4af0-8124-715d36e44938;book3_thucydides_utf8.txt;Acarnanians;char-offset:129162;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
b0521b1a-3577-4e72-a6a3-e5fb22edaaf2;book3_thucydides_utf8.txt;Eurylochus;char-offset:129328;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
b7220e93-b64f-4d4b-8d00-59b8a92073fa;book3_thucydides_utf8.txt;Peloponnesians;char-offset:129347;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
7f3a6daa-ba7e-413f-a1b4-6e13bc9491ee;book3_thucydides_utf8.txt;Ambraciots;char-offset:129438;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
327b78f9-2f9d-4fdd-b8db-b2cdafcbe91e;book3_thucydides_utf8.txt;Demosthenes;char-offset:129479;PERSON;origin:Athens|pleiades:579885|side:Athenian
bfbbc130-289e-46d6-96b5-ce181efc8e52;book3_thucydides_utf8.txt;Aristotle;char-offset:129644;PERSON;origin:Athens|pleiades:579885|side:Athenian
e632d771-c5fa-43d7-a48e-54a7b5fbc341;book3_thucydides_utf8.txt;Timocrates;char-offset:129662;PERSON;origin:Athens|pleiades:579885|side:Athenian
aa976ab4-1484-4d93-be3b-5f39dd0d84ae;book3_thucydides_utf8.txt;Hierophon;char-offset:129678;PERSON;origin:Athens|pleiades:579885|side:Athenian
940e19c0-674c-4534-a5e1-4171d59e1b0c;book3_thucydides_utf8.txt;Antimnestus;char-offset:129696;PERSON;origin:Athens|pleiades:579885|side:Athenian
3139220b-ba32-4c56-b88d-c77674e1d18d;book3_thucydides_utf8.txt;Ambraciots;char-offset:129732;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
2eaa876e-977f-4072-8ae9-d42cd0b09e3f;book3_thucydides_utf8.txt;Eurylochus;char-offset:129876;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
cae0469c-c3c9-4043-b6c2-60f054945668;book3_thucydides_utf8.txt;Acarnanians;char-offset:129925;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
2e8108f7-47d3-41f7-9cf5-3f2d5e9d7c9b;book3_thucydides_utf8.txt;Eurylochus;char-offset:130079;PERSON;origin:Sparta|pleiades:570685|side:Sparthan
4cdf37b4-634a-49d5-8b59-cf1b87412c35;book3_thucydides_utf8.txt;Peloponnesians;char-offset:130098;PERSON;group|origin:Sparta|pleiades:570685|side:Sparthan
30c7ead7-5c18-4b28-a0fc-d26c1a00a9bb;book3_thucydides_utf8.txt;Ambraciots;char-offset:130132;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
06fde128-7fba-4231-bf29-df5217b7dc73;book3_thucydides_utf8.txt;Stratians;char-offset:130392;PERSON;origin:Stratos|pleiades:531104|side:Athenian|group
937f5832-fa42-4f45-904e-16d9eeee0aa3;book3_thucydides_utf8.txt;Stratians;char-offset:130497;PERSON;origin:Stratos|pleiades:531104|side:Athenian|group
79f3c8ce-0f79-46ff-9f2a-8ec3d2163d2a;book3_thucydides_utf8.txt;Agraeans;char-offset:130666;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
e7459a6a-8fe4-48e3-ad4e-40b2a853aab5;book3_thucydides_utf8.txt;Agraeans;char-offset:130753;PERSON;origin:Aetolia|pleiades:540591|side:Sparthan|group
83b07a0c-fdfc-44af-94e3-dab30fd6b6e6;book3_thucydides_utf8.txt;Acarnanian;char-offset:130866;PERSON;group|origin:Acarnania|pleiades:530767|side:Athenian
ac0ac4eb-59c7-4728-bbd3-5b7469b98ff3;book3_thucydides_utf8.txt;Ambraciots;char-offset:130905;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
18c013d1-5507-45b5-a1dc-f2876392042f;book3_thucydides_utf8.txt;Athenians;char-offset:131041;PERSON;group|origin:Athens|pleiades:579885|side:Athenian
dcc2784b-4e1f-400e-876c-9a8d7064b5a1;book3_thucydides_utf8.txt;Argives;char-offset:131115;PERSON;group|origin:Argos|pleiades:570106|side:Athenian
ba310a20-c46c-4b2d-b778-c80607cc2cd6;book3_thucydides_utf8.txt;Demosthenes;char-offset:131129;PERSON;origin:Athens|pleiades:579885|side:Athenian
3cdf8336-5e7b-4cff-a225-3d164556d361;book3_thucydides_utf8.txt;Acarnanians;char-offset:131278;PERSON;origin:Acarnania|pleiades:530767|side:Athenian|group
76eb2165-6935-4ba3-a7a7-dbc6eb4837a4;book3_thucydides_utf8.txt;Amphilochians;char-offset:131307;PERSON;origin:Amphilocia|pleiades:530797|side:Athenian|group
0bb83901-39ac-4992-81d6-66bad6e3fefa;book3_thucydides_utf8.txt;Ambraciots;char-offset:131366;PERSON;origin:Ambracia|pleiades:530794|side:Sparthan|group
7307d5f6-8d7d-4270-a594-41c0b45cf76b;book3_thucydides_utf8.txt;Demosthenes;char-offset:131470;PERSON;origin:Athens|pleiades:579885|side:Athenian
